 film_id |            title            
---------+-----------------------------
       3 | ADAPTATION HOLES
       7 | AIRPLANE SIERRA
       9 | ALABAMA DEVIL
      10 | ALADDIN CALENDAR
      14 | ALICE FANTASIA
      15 | ALIEN CENTER
      16 | ALLEY EVOLUTION
      18 | ALTER VICTORY
      27 | ANONYMOUS HUMAN
      28 | ANTHEM LUKE
      29 | ANTITRUST TOMATOES
      31 | APACHE DIVINE
      33 | APOLLO TEEN
      34 | ARABIA DOGMA
      35 | ARACHNOPHOBIA ROLLERCOASTER
      36 | ARGONAUTS TOWN
      38 | ARK RIDGEMONT
      42 | ARTIST COLDBLOODED
      44 | ATTACKS HATE
      45 | ATTRACTION NEWTON
      47 | BABY HALL
      48 | BACKLASH UNDEFEATED
      51 | BALLOON HOMEWARD
      53 | BANG KWAI
      57 | BASIC EASY
      62 | BED HIGHBALL
      64 | BEETHOVEN EXORCIST
      66 | BENEATH RUSH
      67 | BERETS AGENT
      68 | BETRAYED REAR
      70 | BIKINI BORROWERS
      71 | BILKO ANONYMOUS
      73 | BINGO TALENTED
      76 | BIRDCAGE CASPER
      79 | BLADE POLISH
      81 | BLINDNESS GUN
      87 | BOONDOCK BALLROOM
      92 | BOWFINGER GABLES
      94 | BRAVEHEART HUMAN
      96 | BREAKING HOME
      98 | BRIGHT ENCOUNTERS
     105 | BULL SHAWSHANK
     108 | BUTCH PANTHER
     110 | CABIN FLASH
     111 | CADDYSHACK JEDI
     112 | CALENDAR GUNFIGHT
     113 | CALIFORNIA BIRDS
     114 | CAMELOT VACATION
     117 | CANDLES GRAPES
     120 | CARIBBEAN LIBERTY
     124 | CASPER DRAGONFLY
     125 | CASSIDY WYOMING
     130 | CELEBRITY HORN
     133 | CHAMBER ITALIAN
     136 | CHAPLIN LICENSE
     141 | CHICAGO NORTH
     147 | CHOCOLAT HARRY
     149 | CHRISTMAS MOONSHINE
     151 | CINCINATTI WHISPERER
     152 | CIRCUS YOUTH
     155 | CLEOPATRA DEVIL
     157 | CLOCKWORK PARADISE
     160 | CLUB GRAFFITI
     161 | CLUE GRAIL
     163 | CLYDE THEORY
     167 | COMA HEAD
     169 | COMFORTS RUSH
     170 | COMMAND DARLING
     172 | CONEHEADS SMOOCHY
     173 | CONFESSIONS MAGUIRE
     174 | CONFIDENTIAL INTERVIEW
     175 | CONFUSED CANDLES
     176 | CONGENIALITY QUEST
     180 | CONSPIRACY SPIRIT
     181 | CONTACT ANONYMOUS
     184 | CORE SUIT
     186 | CRAFT OUTFIELD
     187 | CRANES RESERVOIR
     189 | CREATURES SHAKESPEARE
     190 | CREEPERS KANE
     191 | CROOKED FROGMEN
     198 | CRYSTAL BREAKING
     200 | CURTAIN VIDEOTAPE
     205 | DANCES NONE
     208 | DARES PLUTO
     209 | DARKNESS WAR
     210 | DARKO DORADO
     211 | DARLING BREAKING
     214 | DAUGHTER MADIGAN
     218 | DECEIVER BETRAYED
     219 | DEEP CRUSADE
     220 | DEER VIRGINIAN
     223 | DESIRE ALIEN
     225 | DESTINATION JERK
     228 | DETECTIVE VISION
     232 | DIRTY ACE
     235 | DIVIDE MONSTER
     240 | DOLLS RAGE
     241 | DONNIE ALLEY
     243 | DOORS PRESIDENT
     244 | DORADO NOTTING
     248 | DOZEN LION
     251 | DRAGONFLY STRANGERS
     250 | DRAGON SQUAD
     253 | DRIFTER COMMANDMENTS
     254 | DRIVER ANNIE
     255 | DRIVING POLISH
     259 | DUCK RACER
     262 | DUMBO LUST
     266 | DYNAMITE TARZAN
     267 | EAGLES PANKY
     268 | EARLY HOME
     270 | EARTH VISION
     272 | EDGE KISSING
     276 | ELEMENT FREDDY
     277 | ELEPHANT TROJAN
     278 | ELF MURDER
     279 | ELIZABETH SHANE
     282 | ENCOUNTERS CURTAIN
     283 | ENDING CROWDS
     284 | ENEMY ODDS
     285 | ENGLISH BULWORTH
     286 | ENOUGH RAGING
     291 | EVOLUTION ALTER
     294 | EXPECATIONS NATURAL
     298 | EYES DRIVING
     299 | FACTORY DRAGON
     300 | FALCON VOLUME
     303 | FANTASY TROOPERS
     306 | FEATHERS METAL
     307 | FELLOWSHIP AUTUMN
     320 | FLAMINGOS CONNECTICUT
     321 | FLASH WARS
     324 | FLINTSTONES HAPPINESS
     325 | FLOATS GARDEN
     326 | FLYING HOOK
     328 | FOREVER CANDIDATE
     330 | FORRESTER COMANCHEROS
     331 | FORWARD TEMPLE
     332 | FRANKENSTEIN STRANGER
     334 | FREDDY STORM
     335 | FREEDOM CLEOPATRA
     340 | FRONTIER CABIN
     344 | FURY MURDER
     347 | GAMES BOWFINGER
     348 | GANDHI KWAI
     349 | GANGS PRIDE
     352 | GATHERING CALENDAR
     353 | GENTLEMEN STAGE
     361 | GLEAMING JAWBREAKER
     362 | GLORY TRACY
     364 | GODFATHER DIARY
     375 | GRAIL FRANKENSTEIN
     378 | GREATEST NORTH
     383 | GROOVE FICTION
     385 | GROUNDHOG UNCUT
     386 | GUMP DATE
     389 | GUNFIGHTER MUSSOLINI
     388 | GUNFIGHT MOON
     391 | HALF OUTFIELD
     392 | HALL CASSIDY
     393 | HALLOWEEN NUTS
     397 | HANKY OCTOBER
     398 | HANOVER GALAXY
     401 | HAROLD FRENCH
     403 | HARRY IDAHO
     405 | HAUNTED ANTITRUST
     407 | HAWK CHILL
     411 | HEAVENLY GUN
     413 | HEDWIG ALTER
     418 | HOBBIT ALIEN
     421 | HOLIDAY GAMES
     422 | HOLLOW JEOPARDY
     428 | HOMICIDE PEACH
     432 | HOPE TOOTSIE
     435 | HOTEL HAPPINESS
     436 | HOURS RAGE
     438 | HUMAN GRAFFITI
     439 | HUNCHBACK IMPOSSIBLE
     441 | HUNTER ALTER
     442 | HUNTING MUSKETEERS
     444 | HUSTLER PARTY
     448 | IDAHO LOVE
     449 | IDENTITY LOVER
     450 | IDOLS SNATCHERS
     451 | IGBY MAKER
     453 | IMAGE PRINCESS
     454 | IMPACT ALADDIN
     455 | IMPOSSIBLE PREJUDICE
     456 | INCH JET
     457 | INDEPENDENCE HOTEL
     458 | INDIAN LOVE
     459 | INFORMER DOUBLE
     460 | INNOCENT USUAL
     461 | INSECTS STONE
     462 | INSIDER ARIZONA
     464 | INTENTIONS EMPIRE
     466 | INTOLERABLE INTENTIONS
     471 | ISLAND EXORCIST
     473 | JACKET FRISCO
     474 | JADE BUNCH
     476 | JASON TRAP
     483 | JERICHO MULAN
     484 | JERK PAYCHECK
     487 | JINGLE SAGEBRUSH
     488 | JOON NORTHWEST
     489 | JUGGLER HARDLY
     491 | JUMPING WRATH
     492 | JUNGLE CLOSER
     494 | KARATE MOON
     496 | KICK SAVANNAH
     499 | KING EVOLUTION
     500 | KISS GLORY
     502 | KNOCK WARLOCK
     504 | KWAI HOMEWARD
     505 | LABYRINTH LEAGUE
     507 | LADYBUGS ARMAGEDDON
     508 | LAMBS CINCINATTI
     509 | LANGUAGE COWBOY
     511 | LAWRENCE LOVE
     512 | LEAGUE HELLFIGHTERS
     513 | LEATHERNECKS DWARFS
     514 | LEBOWSKI SOLDIERS
     517 | LESSON CLEOPATRA
     520 | LICENSE WEEKEND
     521 | LIES TREATMENT
     522 | LIFE TWISTED
     528 | LOLITA WORLD
     530 | LORD ARIZONA
     533 | LOST BIRD
     534 | LOUISIANA HARRY
     538 | LOVERBOY ATTACKS
     539 | LUCK OPUS
     540 | LUCKY FLYING
     541 | LUKE MUMMY
     545 | MADNESS ATTACKS
     546 | MADRE GABLES
     549 | MAGNOLIA FORRESTER
     550 | MAGUIRE APACHE
     553 | MAKER GABLES
     556 | MALTESE HOPE
     558 | MANNEQUIN WORST
     560 | MARS ROMAN
     562 | MASKED BUBBLE
     561 | MASK PEACH
     565 | MATRIX SNOWMAN
     568 | MEMENTO ZOOLANDER
     570 | MERMAID INSECTS
     571 | METAL ARMAGEDDON
     572 | METROPOLIS COMA
     573 | MICROCOSMOS PARADISE
     578 | MILLION ACE
     579 | MINDS TRUMAN
     580 | MINE TITANS
     582 | MIRACLE VIRTUAL
     583 | MISSION ZOOLANDER
     584 | MIXED DOORS
     588 | MODEL FISH
     587 | MOD SECRETARY
     594 | MONTEZUMA COMMAND
     596 | MOONSHINE CABIN
     601 | MOULIN WAKE
     606 | MUMMY CREATURES
     613 | MYSTIC TRUMAN
     614 | NAME DETECTIVE
     615 | NASH CHOCOLAT
     616 | NATIONAL STORY
     617 | NATURAL STOCK
     620 | NEMO CAMPUS
     621 | NETWORK PEAK
     625 | NONE SPIKING
     627 | NORTH TEQUILA
     629 | NOTORIOUS REUNION
     630 | NOTTING SPEAKEASY
     632 | NUTS TIES
     633 | OCTOBER SUBMARINE
     634 | ODDS BOOGIE
     641 | ORANGE GRAPES
     642 | ORDER BETRAYED
     646 | OUTBREAK DIVINE
     647 | OUTFIELD MASSACRE
     648 | OUTLAW HANKY
     651 | PACKER MADIGAN
     655 | PANTHER REDS
     657 | PARADISE SABRINA
     658 | PARIS WEEKEND
